codigo_localidad,anio,mes,hora,dia_semana,genero,grupo_incidente,prioridad,n_incidentes,tiempo_respuesta_mediana,pct_recepcion_nula
3.0,2025,1,2,viernes,FEMENINO,OTROS,CRITICA,1,,1.0
4.0,2025,1,2,domingo,FEMENINO,OTROS,CRITICA,1,,0.0
4.0,2025,1,2,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
4.0,2025,1,2,lunes,MASCULINO,OTROS,ALTA,1,,1.0
4.0,2025,1,2,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
4.0,2025,1,2,domingo,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
6.0,2025,1,2,domingo,FEMENINO,OTROS,ALTA,1,,0.0
7.0,2025,1,2,jueves,FEMENINO,CLINICO,ALTA,1,,1.0
7.0,2025,1,2,jueves,FEMENINO,CLINICO,MEDIA,1,,0.0
7.0,2025,1,2,lunes,MASCULINO,OTROS,ALTA,1,,1.0
8.0,2025,1,2,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,2,lunes,SIN_DATO,OTROS,BAJA,1,,1.0
8.0,2025,1,2,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
9.0,2025,1,2,domingo,MASCULINO,CLINICO,CRITICA,1,,0.0
9.0,2025,1,2,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
9.0,2025,1,2,domingo,MASCULINO,OTROS,CRITICA,1,,1.0
9.0,2025,1,2,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
9.0,2025,1,2,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
10.0,2025,1,2,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
10.0,2025,1,2,lunes,SIN_DATO,CLINICO,CRITICA,1,,1.0
10.0,2025,1,2,viernes,FEMENINO,OTROS,MEDIA,1,,1.0
11.0,2025,1,2,lunes,MASCULINO,CLINICO,ALTA,1,,0.0
11.0,2025,1,2,jueves,MASCULINO,OTROS,ALTA,1,,1.0
11.0,2025,1,2,lunes,FEMENINO,OTROS,ALTA,1,,1.0
14.0,2025,1,2,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
14.0,2025,1,2,viernes,MASCULINO,SUICIDIO,ALTA,1,,0.0
15.0,2025,1,2,lunes,MASCULINO,OTROS,ALTA,1,,0.0
15.0,2025,1,2,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
16.0,2025,1,2,lunes,MASCULINO,CLINICO,MEDIA,1,,0.0
16.0,2025,1,2,viernes,MASCULINO,CLINICO,ALTA,1,,0.0
16.0,2025,1,2,domingo,MASCULINO,OTROS,CRITICA,1,,0.0
16.0,2025,1,2,lunes,SIN_DATO,OTROS,ALTA,1,,1.0
18.0,2025,1,2,viernes,SIN_DATO,CLINICO,CRITICA,1,,1.0
18.0,2025,1,2,jueves,MASCULINO,OTROS,CRITICA,1,,0.0
19.0,2025,1,2,jueves,MASCULINO,OTROS,CRITICA,1,,0.0
19.0,2025,1,2,jueves,SIN_DATO,SUICIDIO,ALTA,1,,1.0
2.0,2025,1,3,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
2.0,2025,1,3,lunes,FEMENINO,OTROS,CRITICA,1,,0.0
3.0,2025,1,3,lunes,SIN_DATO,SALUD_MENTAL,BAJA,1,,1.0
4.0,2025,1,3,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
4.0,2025,1,3,viernes,FEMENINO,OTROS,CRITICA,1,,1.0
5.0,2025,1,3,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
6.0,2025,1,3,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
6.0,2025,1,3,domingo,MASCULINO,SUICIDIO,ALTA,1,,0.0
7.0,2025,1,3,domingo,SIN_DATO,VIOSEXUAL,CRITICA,1,,1.0
8.0,2025,1,3,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,3,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
8.0,2025,1,3,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
9.0,2025,1,3,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
10.0,2025,1,3,viernes,MASCULINO,OTROS,ALTA,1,,0.0
10.0,2025,1,3,viernes,MASCULINO,OTROS,CRITICA,1,,1.0
10.0,2025,1,3,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
11.0,2025,1,3,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
11.0,2025,1,3,domingo,FEMENINO,OTROS,ALTA,1,,0.0
11.0,2025,1,3,jueves,FEMENINO,SUICIDIO,MEDIA,1,,0.0
12.0,2025,1,3,domingo,FEMENINO,CLINICO,ALTA,1,,0.0
12.0,2025,1,3,domingo,MASCULINO,OTROS,ALTA,1,,1.0
12.0,2025,1,3,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
15.0,2025,1,3,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
18.0,2025,1,3,jueves,MASCULINO,OTROS,CRITICA,1,,0.0
18.0,2025,1,3,lunes,FEMENINO,OTROS,CRITICA,1,,1.0
18.0,2025,1,3,lunes,SIN_DATO,OTROS,CRITICA,2,,1.0
19.0,2025,1,3,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
19.0,2025,1,3,lunes,SIN_DATO,OTROS,ALTA,1,,1.0
19.0,2025,1,3,jueves,SIN_DATO,SUICIDIO,ALTA,1,,1.0
19.0,2025,1,3,lunes,SIN_DATO,VIOSEXUAL,BAJA,1,,1.0
1.0,2025,1,4,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
2.0,2025,1,4,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
4.0,2025,1,4,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
5.0,2025,1,4,viernes,SIN_DATO,CLINICO,ALTA,2,,1.0
6.0,2025,1,4,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,4,domingo,MASCULINO,OTROS,CRITICA,1,,1.0
8.0,2025,1,4,jueves,MASCULINO,OTROS,CRITICA,1,,0.0
8.0,2025,1,4,lunes,SIN_DATO,OTROS,ALTA,1,,1.0
9.0,2025,1,4,viernes,FEMENINO,SUICIDIO,MEDIA,1,,0.0
10.0,2025,1,4,domingo,SIN_DATO,OTROS,BAJA,1,,1.0
13.0,2025,1,4,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
14.0,2025,1,4,viernes,SIN_DATO,CLINICO,CRITICA,1,,1.0
15.0,2025,1,4,lunes,SIN_DATO,OTROS,CRITICA,1,,1.0
16.0,2025,1,4,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
16.0,2025,1,4,jueves,SIN_DATO,SALUD_MENTAL,MEDIA,1,,1.0
16.0,2025,1,4,jueves,FEMENINO,SUICIDIO,MEDIA,1,,0.0
18.0,2025,1,4,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
19.0,2025,1,4,domingo,FEMENINO,OTROS,ALTA,1,,1.0
19.0,2025,1,4,lunes,SIN_DATO,OTROS,ALTA,2,,1.0
19.0,2025,1,4,lunes,SIN_DATO,SUICIDIO,ALTA,2,,1.0
2.0,2025,1,5,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
5.0,2025,1,5,lunes,MASCULINO,OTROS,ALTA,1,,0.0
7.0,2025,1,5,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
8.0,2025,1,5,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,5,viernes,SIN_DATO,CLINICO,CRITICA,1,,1.0
8.0,2025,1,5,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,5,lunes,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,5,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
9.0,2025,1,5,jueves,SIN_DATO,CLINICO,ALTA,1,,1.0
9.0,2025,1,5,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
10.0,2025,1,5,domingo,FEMENINO,CLINICO,ALTA,1,,0.0
10.0,2025,1,5,lunes,SIN_DATO,CLINICO,CRITICA,1,,1.0
10.0,2025,1,5,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
10.0,2025,1,5,jueves,SIN_DATO,OTROS,BAJA,1,,1.0
10.0,2025,1,5,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
10.0,2025,1,5,jueves,SIN_DATO,SALUD_MENTAL,BAJA,1,,1.0
10.0,2025,1,5,jueves,SIN_DATO,SALUD_MENTAL,MEDIA,1,,1.0
13.0,2025,1,5,lunes,SIN_DATO,OTROS,CRITICA,1,,1.0
16.0,2025,1,5,jueves,SIN_DATO,CLINICO,BAJA,1,,1.0
16.0,2025,1,5,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
16.0,2025,1,5,jueves,SIN_DATO,SUICIDIO,ALTA,1,,1.0
19.0,2025,1,5,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
19.0,2025,1,5,jueves,SIN_DATO,OTROS,ALTA,1,,1.0
19.0,2025,1,5,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
1.0,2025,1,6,viernes,SIN_DATO,OTROS,BAJA,1,,1.0
2.0,2025,1,6,viernes,FEMENINO,CLINICO,ALTA,1,,1.0
2.0,2025,1,6,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
2.0,2025,1,6,jueves,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
3.0,2025,1,6,viernes,FEMENINO,CLINICO,ALTA,1,,0.0
3.0,2025,1,6,viernes,SIN_DATO,OTROS,BAJA,1,,1.0
3.0,2025,1,6,domingo,MASCULINO,SUICIDIO,CRITICA,1,,0.0
4.0,2025,1,6,domingo,FEMENINO,CLINICO,ALTA,1,,1.0
5.0,2025,1,6,domingo,FEMENINO,OTROS,CRITICA,1,,0.0
7.0,2025,1,6,jueves,FEMENINO,CLINICO,ALTA,1,,0.0
7.0,2025,1,6,viernes,FEMENINO,CLINICO,ALTA,1,,0.0
7.0,2025,1,6,domingo,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
8.0,2025,1,6,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,6,lunes,SIN_DATO,CLINICO,BAJA,1,,1.0
8.0,2025,1,6,viernes,FEMENINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,6,viernes,MASCULINO,OTROS,ALTA,1,,0.0
9.0,2025,1,6,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
9.0,2025,1,6,domingo,FEMENINO,OTROS,CRITICA,1,,1.0
10.0,2025,1,6,domingo,MASCULINO,OTROS,CRITICA,1,,0.0
10.0,2025,1,6,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
10.0,2025,1,6,lunes,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
11.0,2025,1,6,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
12.0,2025,1,6,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
13.0,2025,1,6,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
14.0,2025,1,6,domingo,FEMENINO,CLINICO,ALTA,1,,0.0
14.0,2025,1,6,viernes,MASCULINO,CLINICO,ALTA,1,,0.0
16.0,2025,1,6,jueves,FEMENINO,CLINICO,ALTA,1,,0.0
16.0,2025,1,6,jueves,SIN_DATO,CLINICO,ALTA,2,,1.0
16.0,2025,1,6,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
18.0,2025,1,6,viernes,FEMENINO,OTROS,ALTA,1,,0.0
19.0,2025,1,6,domingo,MASCULINO,CLINICO,ALTA,1,,1.0
19.0,2025,1,6,viernes,MASCULINO,CLINICO,ALTA,1,,0.0
19.0,2025,1,6,domingo,MASCULINO,OTROS,ALTA,1,,0.0
19.0,2025,1,6,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
19.0,2025,1,6,jueves,SIN_DATO,OTROS,BAJA,1,,1.0
19.0,2025,1,6,lunes,SIN_DATO,SUICIDIO,BAJA,1,,1.0
1.0,2025,1,7,lunes,SIN_DATO,OTROS,BAJA,1,,1.0
1.0,2025,1,7,lunes,MASCULINO,SUICIDIO,ALTA,1,,0.0
2.0,2025,1,7,lunes,MASCULINO,CLINICO,CRITICA,1,,0.0
2.0,2025,1,7,viernes,FEMENINO,CLINICO,ALTA,1,,0.0
2.0,2025,1,7,domingo,FEMENINO,OTROS,ALTA,1,,0.0
3.0,2025,1,7,lunes,SIN_DATO,CLINICO,MEDIA,1,,1.0
3.0,2025,1,7,viernes,FEMENINO,CLINICO,CRITICA,1,,0.0
3.0,2025,1,7,jueves,MASCULINO,OTROS,CRITICA,1,,0.0
3.0,2025,1,7,lunes,FEMENINO,OTROS,CRITICA,1,,1.0
4.0,2025,1,7,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
4.0,2025,1,7,jueves,FEMENINO,OTROS,CRITICA,2,,0.0
4.0,2025,1,7,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
5.0,2025,1,7,domingo,SIN_DATO,CLINICO,ALTA,1,,1.0
5.0,2025,1,7,lunes,MASCULINO,OTROS,CRITICA,1,,0.0
5.0,2025,1,7,lunes,SIN_DATO,OTROS,ALTA,1,,1.0
7.0,2025,1,7,lunes,MASCULINO,CLINICO,MEDIA,1,,0.0
7.0,2025,1,7,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
7.0,2025,1,7,domingo,FEMENINO,OTROS,ALTA,1,,1.0
7.0,2025,1,7,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
7.0,2025,1,7,viernes,SIN_DATO,OTROS,BAJA,1,,1.0
7.0,2025,1,7,jueves,FEMENINO,SALUD_MENTAL,MEDIA,1,,0.0
8.0,2025,1,7,domingo,FEMENINO,CLINICO,ALTA,2,,0.5
8.0,2025,1,7,jueves,FEMENINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,7,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,7,jueves,SIN_DATO,CLINICO,ALTA,2,,1.0
8.0,2025,1,7,viernes,MASCULINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,7,viernes,SIN_DATO,CLINICO,CRITICA,1,,1.0
8.0,2025,1,7,viernes,MASCULINO,OTROS,CRITICA,1,,0.0
8.0,2025,1,7,viernes,SIN_DATO,OTROS,MEDIA,1,,1.0
8.0,2025,1,7,jueves,FEMENINO,SALUD_MENTAL,MEDIA,1,,0.0
8.0,2025,1,7,lunes,SIN_DATO,SALUD_MENTAL,MEDIA,1,,1.0
9.0,2025,1,7,jueves,SIN_DATO,CLINICO,ALTA,1,,1.0
9.0,2025,1,7,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
9.0,2025,1,7,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
9.0,2025,1,7,lunes,MASCULINO,SUICIDIO,CRITICA,1,,0.0
10.0,2025,1,7,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
10.0,2025,1,7,viernes,SIN_DATO,CLINICO,MEDIA,1,,1.0
10.0,2025,1,7,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
10.0,2025,1,7,jueves,MASCULINO,SALUD_MENTAL,MEDIA,1,,0.0
11.0,2025,1,7,jueves,FEMENINO,CLINICO,MEDIA,1,,1.0
11.0,2025,1,7,jueves,MASCULINO,CLINICO,MEDIA,1,,0.0
11.0,2025,1,7,viernes,MASCULINO,CLINICO,ALTA,1,,0.0
11.0,2025,1,7,domingo,MASCULINO,OTROS,ALTA,1,,1.0
11.0,2025,1,7,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
11.0,2025,1,7,jueves,MASCULINO,OTROS,ALTA,1,,0.0
12.0,2025,1,7,viernes,FEMENINO,CLINICO,CRITICA,1,,0.0
12.0,2025,1,7,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
12.0,2025,1,7,viernes,MASCULINO,OTROS,ALTA,1,,0.0
12.0,2025,1,7,viernes,SIN_DATO,OTROS,MEDIA,1,,1.0
12.0,2025,1,7,domingo,FEMENINO,SALUD_MENTAL,ALTA,1,,0.0
13.0,2025,1,7,domingo,MASCULINO,CLINICO,ALTA,1,,0.0
13.0,2025,1,7,domingo,SIN_DATO,CLINICO,ALTA,1,,1.0
13.0,2025,1,7,lunes,MASCULINO,CLINICO,ALTA,1,,1.0
13.0,2025,1,7,viernes,SIN_DATO,CLINICO,ALTA,1,,1.0
13.0,2025,1,7,lunes,FEMENINO,OTROS,CRITICA,1,,0.0
14.0,2025,1,7,jueves,FEMENINO,CLINICO,CRITICA,1,,0.0
14.0,2025,1,7,jueves,SIN_DATO,OTROS,ALTA,1,,1.0
14.0,2025,1,7,lunes,MASCULINO,OTROS,ALTA,1,,0.0
14.0,2025,1,7,viernes,SIN_DATO,SUICIDIO,CRITICA,1,,1.0
16.0,2025,1,7,domingo,MASCULINO,CLINICO,ALTA,2,,0.0
16.0,2025,1,7,jueves,MASCULINO,CLINICO,ALTA,2,,0.0
16.0,2025,1,7,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
16.0,2025,1,7,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
16.0,2025,1,7,lunes,SIN_DATO,CLINICO,BAJA,1,,1.0
16.0,2025,1,7,viernes,MASCULINO,CLINICO,CRITICA,1,,0.0
16.0,2025,1,7,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
16.0,2025,1,7,lunes,FEMENINO,OTROS,MEDIA,1,,1.0
16.0,2025,1,7,viernes,FEMENINO,OTROS,CRITICA,1,,0.0
17.0,2025,1,7,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
19.0,2025,1,7,domingo,FEMENINO,CLINICO,BAJA,1,,1.0
19.0,2025,1,7,jueves,FEMENINO,OTROS,CRITICA,1,,0.0
1.0,2025,1,8,lunes,MASCULINO,OTROS,ALTA,1,,0.0
1.0,2025,1,8,viernes,FEMENINO,OTROS,CRITICA,1,,1.0
2.0,2025,1,8,lunes,MASCULINO,CLINICO,ALTA,1,,0.0
2.0,2025,1,8,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
2.0,2025,1,8,jueves,FEMENINO,OTROS,CRITICA,1,,1.0
2.0,2025,1,8,jueves,SIN_DATO,OTROS,BAJA,1,,1.0
2.0,2025,1,8,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
2.0,2025,1,8,domingo,MASCULINO,SUICIDIO,ALTA,1,,0.0
3.0,2025,1,8,jueves,FEMENINO,OTROS,ALTA,1,,0.0
4.0,2025,1,8,domingo,FEMENINO,CLINICO,ALTA,1,,0.0
4.0,2025,1,8,jueves,FEMENINO,CLINICO,ALTA,1,,0.0
4.0,2025,1,8,lunes,SIN_DATO,CLINICO,MEDIA,1,,1.0
4.0,2025,1,8,jueves,SIN_DATO,OTROS,CRITICA,1,,1.0
5.0,2025,1,8,domingo,FEMENINO,CLINICO,ALTA,1,,0.0
5.0,2025,1,8,domingo,FEMENINO,CLINICO,CRITICA,1,,0.0
5.0,2025,1,8,domingo,MASCULINO,CLINICO,ALTA,1,,1.0
5.0,2025,1,8,viernes,MASCULINO,SALUD_MENTAL,MEDIA,1,,0.0
6.0,2025,1,8,jueves,FEMENINO,CLINICO,BAJA,1,,1.0
6.0,2025,1,8,viernes,SIN_DATO,OTROS,MEDIA,1,,1.0
6.0,2025,1,8,domingo,MASCULINO,SUICIDIO,ALTA,1,,0.0
7.0,2025,1,8,jueves,MASCULINO,CLINICO,MEDIA,1,,0.0
7.0,2025,1,8,lunes,SIN_DATO,CLINICO,ALTA,1,,1.0
7.0,2025,1,8,viernes,SIN_DATO,CLINICO,ALTA,2,,1.0
7.0,2025,1,8,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
7.0,2025,1,8,lunes,SIN_DATO,OTROS,BAJA,1,,1.0
7.0,2025,1,8,lunes,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,8,jueves,FEMENINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,8,jueves,MASCULINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,8,lunes,FEMENINO,CLINICO,ALTA,1,,0.0
8.0,2025,1,8,lunes,FEMENINO,CLINICO,CRITICA,1,,0.0
8.0,2025,1,8,lunes,SIN_DATO,CLINICO,ALTA,2,,1.0
8.0,2025,1,8,domingo,MASCULINO,OTROS,ALTA,2,,0.0
8.0,2025,1,8,domingo,MASCULINO,OTROS,CRITICA,1,,1.0
8.0,2025,1,8,domingo,SIN_DATO,OTROS,ALTA,1,,1.0
8.0,2025,1,8,jueves,MASCULINO,OTROS,ALTA,1,,1.0
8.0,2025,1,8,viernes,MASCULINO,OTROS,ALTA,1,,0.0
8.0,2025,1,8,viernes,SIN_DATO,OTROS,BAJA,1,,1.0
8.0,2025,1,8,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
8.0,2025,1,8,jueves,FEMENINO,SALUD_MENTAL,MEDIA,1,,0.0
8.0,2025,1,8,lunes,SIN_DATO,SALUD_MENTAL,ALTA,1,,1.0
9.0,2025,1,8,domingo,SIN_DATO,CLINICO,ALTA,1,,1.0
9.0,2025,1,8,jueves,FEMENINO,CLINICO,ALTA,1,,0.0
9.0,2025,1,8,jueves,MASCULINO,CLINICO,CRITICA,1,,0.0
9.0,2025,1,8,jueves,FEMENINO,OTROS,ALTA,1,,0.0
9.0,2025,1,8,lunes,MASCULINO,OTROS,ALTA,1,,0.0
10.0,2025,1,8,viernes,SIN_DATO,CLINICO,MEDIA,1,,1.0
10.0,2025,1,8,domingo,SIN_DATO,OTROS,CRITICA,1,,1.0
10.0,2025,1,8,lunes,MASCULINO,OTROS,ALTA,1,,1.0
10.0,2025,1,8,viernes,SIN_DATO,OTROS,ALTA,1,,1.0
10.0,2025,1,8,jueves,MASCULINO,SALUD_MENTAL,ALTA,1,,0.0
11.0,2025,1,8,jueves,FEMENINO,CLINICO,ALTA,1,,1.0
11.0,2025,1,8,domingo,FEMENINO,OTROS,ALTA,1,,0.0
11.0,2025,1,8,domingo,FEMENINO,OTROS,CRITICA,1,,1.0
11.0,2025,1,8,viernes,SIN_DATO,OTROS,CRITICA,1,,1.0
